cpu_id,keyword,brand,series,benchmark,socket
1,14100,Intel,Core i3,15094,LGA1700
2,14100F,Intel,Core i3,15424,LGA1700
3,12100,Intel,Core i3,12474,LGA1700
4,12100F,Intel,Core i3,13959,LGA1700
5,12400,Intel,Core i5,18808,LGA1700
6,12400F,Intel,Core i5,19568,LGA1700
7,12600K,Intel,Core i5,27524,LGA1700
8,13400,Intel,Core i5,23865,LGA1700
9,13400F,Intel,Core i5,24925,LGA1700
10,13600K,Intel,Core i5,37481,LGA1700
11,14400,Intel,Core i5,25096,LGA1700
12,14400F,Intel,Core i5,25483,LGA1700
13,14600K,Intel,Core i5,38436,LGA1700
14,14700,Intel,Core i7,40418,LGA1700
15,14700F,Intel,Core i7,41371,LGA1700
16,14700K,Intel,Core i7,51956,LGA1700
17,14700KF,Intel,Core i7,52059,LGA1700
18,14900,Intel,Core i9,44723,LGA1700
19,14900K,Intel,Core i9,46588,LGA1700
20,14900KF,Intel,Core i9,58138,LGA1700
21,225,Intel,Core Ultra 5,30508,LGA1851
22,225F,Intel,Core Ultra 5,31046,LGA1851
23,225T,Intel,Core Ultra 5,25874,LGA1851
24,235,Intel,Core Ultra 5,38124,LGA1851
25,235T,Intel,Core Ultra 5,31373,LGA1851
26,245,Intel,Core Ultra 5,38616,LGA1851
27,245K,Intel,Core Ultra 5,43109,LGA1851
28,245KF,Intel,Core Ultra 5,43103,LGA1851
29,250K,Intel,Core Ultra 5,52314,LGA1851
30,250KF,Intel,Core Ultra 5,48872,LGA1851
31,270K,Intel,Core Ultra 7,68821,LGA1851
32,265,Intel,Core Ultra 7,49696,LGA1851
33,265F,Intel,Core Ultra 7,49354,LGA1851
34,265K,Intel,Core Ultra 7,58603,LGA1851
35,265KF,Intel,Core Ultra 7,58538,LGA1851
36,265T,Intel,Core Ultra 7,37663,LGA1851
37,285,Intel,Core Ultra 9,57535,LGA1851
38,285K,Intel,Core Ultra 9,67252,LGA1851
39,285T,Intel,Core Ultra 9,40033,LGA1851
40,3400G,AMD,Ryzen 5,9166,AM4
41,5500,AMD,Ryzen 5,19252,AM4
42,5500GT,AMD,Ryzen 5,18991,AM4
43,5600,AMD,Ryzen 5,21510,AM4
44,5600G,AMD,Ryzen 5,19645,AM4
45,5600GT,AMD,Ryzen 5,20141,AM4
46,5600X,AMD,Ryzen 5,21830,AM4
47,5700X,AMD,Ryzen 7,26568,AM4
48,5800X,AMD,Ryzen 7,27672,AM4
49,5800X3D,AMD,Ryzen 7,28295,AM4
50,7500F,AMD,Ryzen 5,26544,AM5
51,7500X3D,AMD,Ryzen 5,25075,AM5
52,7600,AMD,Ryzen 5,26977,AM5
53,7600X,AMD,Ryzen 5,28283,AM5
54,7700,AMD,Ryzen 7,34334,AM5
55,7700X,AMD,Ryzen 7,35513,AM5
56,7800X3D,AMD,Ryzen 7,34278,AM5
57,8600G,AMD,Ryzen 5,25189,AM5
58,8700G,AMD,Ryzen 7,31519,AM5
59,9500F,AMD,Ryzen 5,28343,AM5
60,9600X,AMD,Ryzen 5,30101,AM5
61,9700X,AMD,Ryzen 7,37011,AM5
62,9800X3D,AMD,Ryzen 7,39951,AM5
63,9850X3D,AMD,Ryzen 7,41328,AM5
64,9900X,AMD,Ryzen 9,54371,AM5
65,9950X,AMD,Ryzen 9,65748,AM5
66,9950X3D,AMD,Ryzen 9,70129,AM5
67,4585PX,AMD,EPYC,68908,SP5
