cpu_id,keyword,brand,series,benchmark,socket,price,href,image,performance_score,game_score,work_score,ai_score,value_score
1,14100,Intel,Core i3,15094,LGA1700,116700,https://prod.danawa.com/info/?pcode=98142020&keyword=14100&cate=18355271,https://img.danuri.io/catalog-image/020/142/098/e3b9a816c2334f2cb4642d15d04ff1ed.jpg,63.89,63.89,65.7,65.5,60.03
2,14100F,Intel,Core i3,15424,LGA1700,202540,https://prod.danawa.com/info/?pcode=32038895&keyword=14100F&cate=113973,https://img.danuri.io/catalog-image/895/038/032/4bbab872688149088c77e2cfb57b5182.jpg,64.11,64.11,65.9,65.7,60.02
3,12100,Intel,Core i3,12474,LGA1700,44100,https://prod.danawa.com/info/?pcode=78069698&keyword=12100&cate=18231898,https://img.danuri.io/catalog-image/698/069/078/93cecbb9c9e34d369e08d99a35313de1.jpg,62.17,62.17,64.06,63.95,60.08
4,12100F,Intel,Core i3,13959,LGA1700,190000,https://prod.danawa.com/info/?pcode=16101179&keyword=12100F&cate=113973,https://img.danuri.io/catalog-image/179/101/016/3553c02b0a4741879e9cb2db39f0cddc.jpg,63.14,63.14,64.98,64.83,60.02
5,12400,Intel,Core i5,18808,LGA1700,224490,https://prod.danawa.com/info/?pcode=16101353&keyword=12400&cate=113973,https://img.danuri.io/catalog-image/353/101/016/a732b743674647feb96a624e6dfa582c.jpg,66.33,66.33,68.01,67.7,60.02
6,12400F,Intel,Core i5,19568,LGA1700,224490,https://prod.danawa.com/info/?pcode=16101353&keyword=12400F&cate=113973,https://img.danuri.io/catalog-image/353/101/016/a732b743674647feb96a624e6dfa582c.jpg,66.83,66.83,68.49,68.15,60.02
7,12600K,Intel,Core i5,27524,LGA1700,330000,https://prod.danawa.com/info/?pcode=15752468&keyword=12600K&cate=113973,https://img.danuri.io/catalog-image/468/752/015/f7380db6c9e640d9920fde916f88cba1.jpg,72.05,72.05,73.45,72.84,60.02
8,13400,Intel,Core i5,23865,LGA1700,78410,https://prod.danawa.com/info/?pcode=26160329&keyword=13400&cate=16349342,https://img.danuri.io/catalog-image/329/160/026/82340c3e55634932a69b54f249a0313d.jpg,69.64,69.64,71.16,70.68,60.08
9,13400F,Intel,Core i5,24925,LGA1700,232440,https://prod.danawa.com/info/?pcode=18702827&keyword=13400F&cate=113973,https://img.danuri.io/catalog-image/827/702/018/a4f0f5fa2ecb4864a06f6ddf0ae738bd.jpg,70.34,70.34,71.82,71.31,60.03
10,13600K,Intel,Core i5,37481,LGA1700,385250,https://prod.danawa.com/info/?pcode=18169127&keyword=13600K&cate=113973,https://img.danuri.io/catalog-image/127/169/018/b7b14d8bea044f258d1a1021d20f4f8d.jpg,78.58,78.58,79.65,78.72,60.02
