gpu_id,keyword,brand,model,series,vram,benchmark,price,href,image,performance_score,game_score,work_score,ai_score,value_score
1,RTX5060,NVIDIA,RTX 5060,RTX 50,8,20699,505950,https://prod.danawa.com/info/?pcode=90892928&keyword=RTX5060&cate=112753,https://img.danuri.io/catalog-image/928/892/090/44d17b064b684d8fb1efc92ac915938e.jpg,65.72,65.72,67.43,67.15,100
2,RTX5060 Ti,NVIDIA,RTX 5060 Ti,RTX 50,8,22068,609990,https://prod.danawa.com/info/?pcode=81716102&keyword=RTX5060+Ti&cate=112753,https://img.danuri.io/catalog-image/102/716/081/07f8144c04ac4f2695eb70e8926ad485.jpg,68.29,68.29,69.88,69.46,94.65
3,RTX5060 Ti 16GB,NVIDIA,RTX 5060 Ti 16GB,RTX 50,16,22629,928000,https://prod.danawa.com/info/?pcode=87687467&keyword=RTX5060Ti16GB&cate=112753,https://img.danuri.io/catalog-image/467/687/087/5d50f38e85964fe989094707b66b5fec.jpg,69.34,69.34,70.87,70.41,81.33
4,RTX5070,NVIDIA,RTX 5070,RTX 50,12,28687,970360,https://prod.danawa.com/info/?pcode=91769021&keyword=RTX5070&cate=112753,https://img.danuri.io/catalog-image/021/769/091/8120667bc29c4dd18af9b9bb5d8cf0a3.jpg,80.71,80.71,81.67,80.64,87.18
5,RTX5070 Ti,NVIDIA,RTX 5070 Ti,RTX 50,16,32374,1495330,https://prod.danawa.com/info/?pcode=82225754&keyword=RTX5070+Ti&cate=112753,https://img.danuri.io/catalog-image/754/225/082/f2eebef209354f0998cc68bdcf0ee97f.jpg,87.63,87.63,88.25,86.87,78.24
6,RTX5080,NVIDIA,RTX 5080,RTX 50,16,35665,1865000,https://prod.danawa.com/info/?pcode=82136408&keyword=RTX5080&cate=112753,https://img.danuri.io/catalog-image/408/136/082/ecda63ce1df44b85aea5443206d170a3.jpg,93.81,93.81,94.12,92.43,75.39
7,RTX5090,NVIDIA,RTX 5090,RTX 50,32,38960,7080000,https://prod.danawa.com/info/?pcode=75376397&keyword=RTX5090&cate=112753,https://img.danuri.io/catalog-image/397/376/075/2c1f35db956049f7b914760040f8c340.jpg,100,100,100,98,60
8,RX9060 XT,AMD,RX 9060 XT,RX 9000,16,17655,529500,https://prod.danawa.com/info/?pcode=91871504&keyword=RX9060+XT&cate=112753,https://img.danuri.io/catalog-image/504/871/091/87e05f38924f4d0a9ab9ba79261e763e.jpg,60,60,62,62,91.45
9,RX9070,AMD,RX 9070,RX 9000,16,25395,935440,https://prod.danawa.com/info/?pcode=77378426&keyword=RX9070&cate=112753,https://img.danuri.io/catalog-image/426/378/077/d6ab8204792f41469312f91268f6342b.jpg,74.53,74.53,75.8,75.08,84.45
10,RX9070 XT,AMD,RX 9070 XT,RX 9000,16,26907,1064090,https://prod.danawa.com/info/?pcode=99711887&keyword=RX9070+XT&cate=112753,https://img.danuri.io/catalog-image/887/711/099/d817544fcb0045cdbf45b2fafff32748.jpg,77.37,77.37,78.5,77.63,82.35
