mb_id,model,socket,chipset,ram_type,max_memory,pcie,gpu_slot,power_phase,price
MB001,ASUS PRIME B650M-A,AM5,B650,DDR5,192,PCIe 4.0,x16,8,189000
MB002,MSI PRO B650M-A WIFI,AM5,B650,DDR5,192,PCIe 4.0,x16,10,215000
MB003,GIGABYTE B650M DS3H,AM5,B650,DDR5,192,PCIe 4.0,x16,8,179000
MB004,ASRock B650M PG Lightning,AM5,B650,DDR5,192,PCIe 4.0,x16,10,195000
MB005,ASUS TUF GAMING B650-PLUS,AM5,B650,DDR5,192,PCIe 5.0,x16,12,279000
MB006,MSI MAG B650 TOMAHAWK WIFI,AM5,B650,DDR5,192,PCIe 5.0,x16,14,319000
MB007,GIGABYTE B650 AORUS ELITE AX,AM5,B650,DDR5,192,PCIe 5.0,x16,14,299000
MB008,ASUS ROG STRIX X670E-E GAMING WIFI,AM5,X670E,DDR5,192,PCIe 5.0,x16,18,589000
MB009,MSI MPG X670E CARBON WIFI,AM5,X670E,DDR5,192,PCIe 5.0,x16,18,649000
MB010,GIGABYTE X670E AORUS MASTER,AM5,X670E,DDR5,192,PCIe 5.0,x16,20,719000
MB011,ASRock X870 Steel Legend WiFi,AM5,X870,DDR5,256,PCIe 5.0,x16,16,429000
MB012,MSI MAG X870 TOMAHAWK WIFI,AM5,X870,DDR5,256,PCIe 5.0,x16,16,479000
MB013,ASUS PRIME B760M-A D4,LGA1700,B760,DDR4,128,PCIe 4.0,x16,8,179000
MB014,MSI PRO B760M-A WIFI,LGA1700,B760,DDR5,192,PCIe 4.0,x16,10,225000
MB015,GIGABYTE B760M DS3H,LGA1700,B760,DDR5,192,PCIe 4.0,x16,8,189000
MB016,ASRock B760M Pro RS,LGA1700,B760,DDR5,192,PCIe 4.0,x16,10,199000
MB017,ASUS TUF GAMING B760-PLUS WIFI,LGA1700,B760,DDR5,192,PCIe 5.0,x16,12,299000
MB018,MSI MAG Z790 TOMAHAWK WIFI,LGA1700,Z790,DDR5,192,PCIe 5.0,x16,16,429000
MB019,GIGABYTE Z790 AORUS ELITE AX,LGA1700,Z790,DDR5,192,PCIe 5.0,x16,16,449000
MB020,ASUS ROG STRIX Z790-E GAMING WIFI,LGA1700,Z790,DDR5,192,PCIe 5.0,x16,18,699000
MB021,ASRock Z790 Steel Legend WIFI,LGA1700,Z790,DDR5,192,PCIe 5.0,x16,14,379000
MB022,MSI PRO H610M-G,LGA1700,H610,DDR4,64,PCIe 4.0,x16,6,99000
MB023,ASUS PRIME H610M-K D4,LGA1700,H610,DDR4,64,PCIe 4.0,x16,6,109000
MB024,GIGABYTE H610M H V2,LGA1700,H610,DDR4,64,PCIe 4.0,x16,5,95000
MB025,ASRock B550M Pro4,AM4,B550,DDR4,128,PCIe 4.0,x16,8,129000
MB026,MSI MAG B550 TOMAHAWK,AM4,B550,DDR4,128,PCIe 4.0,x16,10,189000
MB027,ASUS TUF GAMING B550-PLUS,AM4,B550,DDR4,128,PCIe 4.0,x16,10,199000
MB028,GIGABYTE B550 AORUS ELITE V2,AM4,B550,DDR4,128,PCIe 4.0,x16,10,179000
MB029,ASRock X570 Steel Legend,AM4,X570,DDR4,128,PCIe 4.0,x16,12,279000
MB030,MSI MPG X570 GAMING PLUS,AM4,X570,DDR4,128,PCIe 4.0,x16,12,299000
